2022-06-27 16:20:07|waiting for 26
2022-06-27 16:20:08|20 received
2022-06-27 16:20:08|waiting for 1
2022-06-27 16:20:09|18 received
2022-06-27 16:20:09|waiting for 14
2022-06-27 16:20:19|23 received
2022-06-27 16:20:19|waiting for 28
2022-06-27 16:20:20|17 received
2022-06-27 16:20:20|waiting for 2
2022-06-27 16:20:24|26 received
2022-06-27 16:20:29|1 received
2022-06-27 16:20:30|14 received
2022-06-27 16:20:35|28 received
2022-06-27 16:20:40|2 received
2022-06-27 16:20:45|global epoch: 3, loss: 1.0091989119596119, acc: 0.7584499716758728
2022-06-27 16:20:45|waiting for 13
2022-06-27 16:20:45|waiting for 15
2022-06-27 16:20:45|waiting for 20
2022-06-27 16:20:45|waiting for 4
2022-06-27 16:20:45|waiting for 11
2022-06-27 16:21:02|20 received
2022-06-27 16:21:02|waiting for 10
2022-06-27 16:21:03|15 received
2022-06-27 16:21:03|waiting for 24
2022-06-27 16:21:08|13 received
2022-06-27 16:21:08|waiting for 26
2022-06-27 16:21:09|11 received
2022-06-27 16:21:09|waiting for 21
2022-06-27 16:21:11|4 received
2022-06-27 16:21:11|waiting for 23
2022-06-27 16:21:19|24 received
2022-06-27 16:21:19|waiting for 8
2022-06-27 16:21:23|10 received
2022-06-27 16:21:23|waiting for 19
2022-06-27 16:21:24|26 received
2022-06-27 16:21:24|waiting for 14
2022-06-27 16:21:26|21 received
2022-06-27 16:21:26|waiting for 25
2022-06-27 16:21:28|23 received
2022-06-27 16:21:28|waiting for 2
2022-06-27 16:21:40|8 received
2022-06-27 16:21:40|waiting for 17
2022-06-27 16:21:41|19 received
2022-06-27 16:21:41|waiting for 12
2022-06-27 16:21:43|25 received
2022-06-27 16:21:43|waiting for 7
2022-06-27 16:21:45|14 received
2022-06-27 16:21:45|waiting for 29
2022-06-27 16:21:49|2 received
2022-06-27 16:21:49|waiting for 28
2022-06-27 16:21:56|17 received
2022-06-27 16:21:56|waiting for 9
2022-06-27 16:22:02|29 received
2022-06-27 16:22:02|waiting for 1
2022-06-27 16:22:02|12 received
2022-06-27 16:22:02|waiting for 0
2022-06-27 16:22:04|7 received
2022-06-27 16:22:04|waiting for 16
2022-06-27 16:22:06|28 received
2022-06-27 16:22:06|waiting for 27
2022-06-27 16:22:16|9 received
2022-06-27 16:22:16|waiting for 18
2022-06-27 16:22:21|16 received
2022-06-27 16:22:21|waiting for 5
2022-06-27 16:22:23|1 received
2022-06-27 16:22:23|waiting for 6
2022-06-27 16:22:23|27 received
2022-06-27 16:22:23|waiting for 3
2022-06-27 16:22:24|0 received
2022-06-27 16:22:24|waiting for 22
2022-06-27 16:22:33|18 received
